chair, 126, 218, 460, 519
chair, 216, 311, 449, 516
chair, 327, 418, 430, 504
chair, 1079, 1219, 522, 591
chair, 18, 134, 482, 682
chair, 205, 310, 473, 675
chair, 404, 515, 494, 660
chair, 543, 680, 526, 676
chair, 739, 875, 520, 673
chair, 1217, 1390, 529, 648
chair, 1399, 1551, 489, 595
chair, 1589, 1730, 500, 624
chair, 1809, 1956, 512, 675
chair, 103, 234, 573, 796
chair, 319, 418, 576, 760
chair, 867, 1043, 577, 745
chair, 1060, 1261, 593, 796
chair, 1254, 1453, 595, 797
chair, 1469, 1642, 559, 766
chair, 1708, 1907, 578, 782
chair, 404, 584, 669, 873
chair, 592, 780, 684, 925
chair, 1543, 1806, 637, 906
chair, 0, 111, 682, 1125
chair, 770, 991, 751, 988
chair, 972, 1233, 779, 1030
chair, 1207, 1461, 841, 1091
chair, 274, 1996, 490, 1061
